Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Make_mean_encoded
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,254.00759013282732
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,254.00759013282732
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232,254.00759013282732
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,254.00759013282732
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,254.00759013282732
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356,254.00759013282732
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191,254.00759013282732
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,254.00759013282732
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212,254.00759013282732
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,254.00759013282732
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,254.00759013282732
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,254.00759013282732
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,254.00759013282732
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,254.00759013282732
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,254.00759013282732
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,254.00759013282732
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,254.00759013282732
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,254.00759013282732
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,254.00759013282732
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260,254.00759013282732
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230,254.00759013282732
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,254.00759013282732
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255,254.00759013282732
